date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:43	563/563	---MCZ	200	added ('OK')	text/plain	date:Sat,%2005%20Jan%202019%2001:02:42%20GMT	https://www.facebook.com/robots.txt		(from )
21:02:44	565271/565271	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2001:02:43%20GMT	https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110	return/fakebook-app/www.facebook.com/login/device-based/regular/login/index8bdd.html	(from )
21:02:45	560365/560365	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:44%20GMT	https://www.facebook.com/login/device-based/regular/login/lCz8	return/fakebook-app/www.facebook.com/login/device-based/regular/login/lCz8	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:46	562690/562690	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2001:02:45%20GMT	https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110&_fb_noscript=1	return/fakebook-app/www.facebook.com/login/device-based/regular/login/index25d1.html	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:46	558075/558075	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:46%20GMT	https://www.facebook.com/login/device-based/regular/login/qnZW	return/fakebook-app/www.facebook.com/login/device-based/regular/login/qnZW	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:47	558520/558520	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:47%20GMT	https://www.facebook.com/login/device-based/regular/login/PmN3	return/fakebook-app/www.facebook.com/login/device-based/regular/login/PmN3	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:48	558561/558561	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:48%20GMT	https://www.facebook.com/login/device-based/regular/login/sZx1	return/fakebook-app/www.facebook.com/login/device-based/regular/login/sZx1	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:49	558079/558079	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:49%20GMT	https://www.facebook.com/login/device-based/regular/login/IToy	return/fakebook-app/www.facebook.com/login/device-based/regular/login/IToy	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:50	558520/558520	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:50%20GMT	https://www.facebook.com/login/device-based/regular/login/S+p0	return/fakebook-app/www.facebook.com/login/device-based/regular/login/S+p0	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:51	558074/558074	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:51%20GMT	https://www.facebook.com/login/device-based/regular/login/km2J	return/fakebook-app/www.facebook.com/login/device-based/regular/login/km2J	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:52	558522/558522	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:52%20GMT	https://www.facebook.com/login/device-based/regular/login/OIWf	return/fakebook-app/www.facebook.com/login/device-based/regular/login/OIWf	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:53	558103/558103	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:53%20GMT	https://www.facebook.com/login/device-based/regular/login/emU3	return/fakebook-app/www.facebook.com/login/device-based/regular/login/emU3	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:54	558080/558080	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:54%20GMT	https://www.facebook.com/login/device-based/regular/login/36Dd	return/fakebook-app/www.facebook.com/login/device-based/regular/login/36Dd	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:55	558061/558061	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:55%20GMT	https://www.facebook.com/login/device-based/regular/login/dH2O	return/fakebook-app/www.facebook.com/login/device-based/regular/login/dH2O	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:56	558077/558077	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:56%20GMT	https://www.facebook.com/login/device-based/regular/login/qZW+	return/fakebook-app/www.facebook.com/login/device-based/regular/login/qZW+	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
21:02:57	558073/558073	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jan%202019%2001:02:57%20GMT	https://www.facebook.com/login/device-based/regular/login/gvCs	return/fakebook-app/www.facebook.com/login/device-based/regular/login/gvCs	(from https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110)
